s_province,s_city_name,s_sta_name,d_city_name,d_sta_name,drv_date,drv_time,full_price,half_price,left_tickets,crawl_source,extra_info
"江苏省","宿迁市","宿迁市","蚌埠","蚌埠","20161205","1410",65.0,32.5,"46","ccw","{ ""crq"" : ""20161205"", ""carNum"" : ""1"", ""ccid"" : ""20275678;"", ""csj"" : ""1410"", ""cnum"" : ""46"", ""cid"" : ""20275678;"", ""cjg"" : ""65"", ""bcbm"" : ""QQ0101"", ""cmdid"" : ""263756789')"", ""cmd"" : ""蚌埠"", ""clx"" : ""大型高一"", ""cna"" : ""宿迁汽车站"" }"
"江苏省","宿迁市","宿迁市","蚌埠","蚌埠","20161206","0820",65.0,32.5,"40","ccw","{ ""crq"" : ""20161206"", ""carNum"" : ""1"", ""ccid"" : ""20275678;"", ""csj"" : ""0820"", ""cnum"" : ""40"", ""cid"" : ""20275678;"", ""cjg"" : ""65"", ""bcbm"" : ""QQ0100"", ""cmdid"" : ""263756789')"", ""cmd"" : ""蚌埠"", ""clx"" : ""大型高一"", ""cna"" : ""宿迁汽车站"" }"
"江苏省","宿迁市","宿迁市","蚌埠","蚌埠","20161206","1410",65.0,32.5,"47","ccw","{ ""crq"" : ""20161206"", ""carNum"" : ""1"", ""ccid"" : ""20275678;"", ""csj"" : ""1410"", ""cnum"" : ""47"", ""cid"" : ""20275678;"", ""cjg"" : ""65"", ""bcbm"" : ""QQ0101"", ""cmdid"" : ""263756789')"", ""cmd"" : ""蚌埠"", ""clx"" : ""大型高一"", ""cna"" : ""宿迁汽车站"" }"
"江苏省","宿迁市","宿迁市","蚌埠","蚌埠","20161207","0820",65.0,32.5,"40","ccw","{ ""crq"" : ""20161207"", ""carNum"" : ""1"", ""ccid"" : ""20275678;"", ""csj"" : ""0820"", ""cnum"" : ""40"", ""cid"" : ""20275678;"", ""cjg"" : ""65"", ""bcbm"" : ""QQ0100"", ""cmdid"" : ""263756789')"", ""cmd"" : ""蚌埠"", ""clx"" : ""大型高一"", ""cna"" : ""宿迁汽车站"" }"
"江苏省","宿迁市","宿迁市","蚌埠","蚌埠","20161207","1410",65.0,32.5,"47","ccw","{ ""crq"" : ""20161207"", ""carNum"" : ""1"", ""ccid"" : ""20275678;"", ""csj"" : ""1410"", ""cnum"" : ""47"", ""cid"" : ""20275678;"", ""cjg"" : ""65"", ""bcbm"" : ""QQ0101"", ""cmdid"" : ""263756789')"", ""cmd"" : ""蚌埠"", ""clx"" : ""大型高一"", ""cna"" : ""宿迁汽车站"" }"
"江苏省","宿迁市","宿迁市","北京","北京","20161206","1230",273.0,136.5,"40","ccw","{ ""crq"" : ""20161206"", ""carNum"" : ""1"", ""ccid"" : ""20275678;"", ""csj"" : ""1230"", ""cnum"" : ""40"", ""cid"" : ""20275678;"", ""cjg"" : ""273"", ""bcbm"" : ""QQ0109"", ""cmdid"" : ""033456789')"", ""cmd"" : ""北京"", ""clx"" : ""大型高一"", ""cna"" : ""宿迁汽车站"" }"
"江苏省","宿迁市","宿迁市","常熟","常熟","20161205","1250",135.0,67.5,"46","ccw","{ ""crq"" : ""20161205"", ""carNum"" : ""1"", ""ccid"" : ""20275678;"", ""csj"" : ""1250"", ""cnum"" : ""46"", ""cid"" : ""20275678;"", ""cjg"" : ""135"", ""bcbm"" : ""QQ0112"", ""cmdid"" : ""2031"", ""cmd"" : ""常熟"", ""clx"" : ""大型高一"", ""cna"" : ""宿迁汽车站"" }"
"江苏省","宿迁市","宿迁市","常熟","常熟","20161205","1810",135.0,67.5,"49","ccw","{ ""crq"" : ""20161205"", ""carNum"" : ""1"", ""ccid"" : ""20275678;"", ""csj"" : ""1810"", ""cnum"" : ""49"", ""cid"" : ""20275678;"", ""cjg"" : ""135"", ""bcbm"" : ""QQ0209"", ""cmdid"" : ""2031"", ""cmd"" : ""常熟"", ""clx"" : ""大型高一"", ""cna"" : ""宿迁汽车站"" }"
"江苏省","宿迁市","宿迁市","常熟","常熟","20161206","0530",135.0,67.5,"49","ccw","{ ""crq"" : ""20161206"", ""carNum"" : ""1"", ""ccid"" : ""20275678;"", ""csj"" : ""0530"", ""cnum"" : ""49"", ""cid"" : ""20275678;"", ""cjg"" : ""135"", ""bcbm"" : ""QQ0111"", ""cmdid"" : ""2031"", ""cmd"" : ""常熟"", ""clx"" : ""大型高一"", ""cna"" : ""宿迁汽车站"" }"
"江苏省","宿迁市","宿迁市","常熟","常熟","20161206","0710",135.0,67.5,"43","ccw","{ ""crq"" : ""20161206"", ""carNum"" : ""1"", ""ccid"" : ""20275678;"", ""csj"" : ""0710"", ""cnum"" : ""43"", ""cid"" : ""20275678;"", ""cjg"" : ""135"", ""bcbm"" : ""QQ0201"", ""cmdid"" : ""2031"", ""cmd"" : ""常熟"", ""clx"" : ""大型高一"", ""cna"" : ""宿迁汽车站"" }"
"江苏省","宿迁市","宿迁市","常熟","常熟","20161206","0810",135.0,67.5,"48","ccw","{ ""crq"" : ""20161206"", ""carNum"" : ""1"", ""ccid"" : ""20275678;"", ""csj"" : ""0810"", ""cnum"" : ""48"", ""cid"" : ""20275678;"", ""cjg"" : ""135"", ""bcbm"" : ""QQ0203"", ""cmdid"" : ""2031"", ""cmd"" : ""常熟"", ""clx"" : ""大型高一"", ""cna"" : ""宿迁汽车站"" }"
"江苏省","宿迁市","宿迁市","常熟","常熟","20161206","0830",135.0,67.5,"42","ccw","{ ""crq"" : ""20161206"", ""carNum"" : ""1"", ""ccid"" : ""20275678;"", ""csj"" : ""0830"", ""cnum"" : ""42"", ""cid"" : ""20275678;"", ""cjg"" : ""135"", ""bcbm"" : ""QQ0204"", ""cmdid"" : ""2031"", ""cmd"" : ""常熟"", ""clx"" : ""大型高一"", ""cna"" : ""宿迁汽车站"" }"
"江苏省","宿迁市","宿迁市","常熟","常熟","20161206","1000",135.0,67.5,"50","ccw","{ ""crq"" : ""20161206"", ""carNum"" : ""1"", ""ccid"" : ""20275678;"", ""csj"" : ""1000"", ""cnum"" : ""50"", ""cid"" : ""20275678;"", ""cjg"" : ""135"", ""bcbm"" : ""QQ0205"", ""cmdid"" : ""2031"", ""cmd"" : ""常熟"", ""clx"" : ""大型高一"", ""cna"" : ""宿迁汽车站"" }"
"江苏省","宿迁市","宿迁市","常熟","常熟","20161206","1110",135.0,67.5,"55","ccw","{ ""crq"" : ""20161206"", ""carNum"" : ""1"", ""ccid"" : ""20275678;"", ""csj"" : ""1110"", ""cnum"" : ""55"", ""cid"" : ""20275678;"", ""cjg"" : ""135"", ""bcbm"" : ""QQ0206"", ""cmdid"" : ""2031"", ""cmd"" : ""常熟"", ""clx"" : ""大型高一"", ""cna"" : ""宿迁汽车站"" }"
"江苏省","宿迁市","宿迁市","常熟","常熟","20161206","1250",135.0,67.5,"49","ccw","{ ""crq"" : ""20161206"", ""carNum"" : ""1"", ""ccid"" : ""20275678;"", ""csj"" : ""1250"", ""cnum"" : ""49"", ""cid"" : ""20275678;"", ""cjg"" : ""135"", ""bcbm"" : ""QQ0112"", ""cmdid"" : ""2031"", ""cmd"" : ""常熟"", ""clx"" : ""大型高一"", ""cna"" : ""宿迁汽车站"" }"
"江苏省","宿迁市","宿迁市","常熟","常熟","20161206","1810",135.0,67.5,"50","ccw","{ ""crq"" : ""20161206"", ""carNum"" : ""1"", ""ccid"" : ""20275678;"", ""csj"" : ""1810"", ""cnum"" : ""50"", ""cid"" : ""20275678;"", ""cjg"" : ""135"", ""bcbm"" : ""QQ0209"", ""cmdid"" : ""2031"", ""cmd"" : ""常熟"", ""clx"" : ""大型高一"", ""cna"" : ""宿迁汽车站"" }"
"江苏省","宿迁市","宿迁市","常熟","常熟","20161207","0530",135.0,67.5,"49","ccw","{ ""crq"" : ""20161207"", ""carNum"" : ""1"", ""ccid"" : ""20275678;"", ""csj"" : ""0530"", ""cnum"" : ""49"", ""cid"" : ""20275678;"", ""cjg"" : ""135"", ""bcbm"" : ""QQ0111"", ""cmdid"" : ""2031"", ""cmd"" : ""常熟"", ""clx"" : ""大型高一"", ""cna"" : ""宿迁汽车站"" }"
"江苏省","宿迁市","宿迁市","常熟","常熟","20161207","0710",135.0,67.5,"49","ccw","{ ""crq"" : ""20161207"", ""carNum"" : ""1"", ""ccid"" : ""20275678;"", ""csj"" : ""0710"", ""cnum"" : ""49"", ""cid"" : ""20275678;"", ""cjg"" : ""135"", ""bcbm"" : ""QQ0202"", ""cmdid"" : ""2031"", ""cmd"" : ""常熟"", ""clx"" : ""大型高一"", ""cna"" : ""宿迁汽车站"" }"
"江苏省","宿迁市","宿迁市","常熟","常熟","20161207","0810",135.0,67.5,"48","ccw","{ ""crq"" : ""20161207"", ""carNum"" : ""1"", ""ccid"" : ""20275678;"", ""csj"" : ""0810"", ""cnum"" : ""48"", ""cid"" : ""20275678;"", ""cjg"" : ""135"", ""bcbm"" : ""QQ0203"", ""cmdid"" : ""2031"", ""cmd"" : ""常熟"", ""clx"" : ""大型高一"", ""cna"" : ""宿迁汽车站"" }"
"江苏省","宿迁市","宿迁市","常熟","常熟","20161207","0830",135.0,67.5,"44","ccw","{ ""crq"" : ""20161207"", ""carNum"" : ""1"", ""ccid"" : ""20275678;"", ""csj"" : ""0830"", ""cnum"" : ""44"", ""cid"" : ""20275678;"", ""cjg"" : ""135"", ""bcbm"" : ""QQ0204"", ""cmdid"" : ""2031"", ""cmd"" : ""常熟"", ""clx"" : ""大型高一"", ""cna"" : ""宿迁汽车站"" }"
"江苏省","宿迁市","宿迁市","常熟","常熟","20161207","1000",135.0,67.5,"52","ccw","{ ""crq"" : ""20161207"", ""carNum"" : ""1"", ""ccid"" : ""20275678;"", ""csj"" : ""1000"", ""cnum"" : ""52"", ""cid"" : ""20275678;"", ""cjg"" : ""135"", ""bcbm"" : ""QQ0205"", ""cmdid"" : ""2031"", ""cmd"" : ""常熟"", ""clx"" : ""大型高一"", ""cna"" : ""宿迁汽车站"" }"
"江苏省","宿迁市","宿迁市","常熟","常熟","20161207","1250",135.0,67.5,"49","ccw","{ ""crq"" : ""20161207"", ""carNum"" : ""1"", ""ccid"" : ""20275678;"", ""csj"" : ""1250"", ""cnum"" : ""49"", ""cid"" : ""20275678;"", ""cjg"" : ""135"", ""bcbm"" : ""QQ0112"", ""cmdid"" : ""2031"", ""cmd"" : ""常熟"", ""clx"" : ""大型高一"", ""cna"" : ""宿迁汽车站"" }"
"江苏省","宿迁市","宿迁市","常熟","常熟","20161207","1810",135.0,67.5,"50","ccw","{ ""crq"" : ""20161207"", ""carNum"" : ""1"", ""ccid"" : ""20275678;"", ""csj"" : ""1810"", ""cnum"" : ""50"", ""cid"" : ""20275678;"", ""cjg"" : ""135"", ""bcbm"" : ""QQ0209"", ""cmdid"" : ""2031"", ""cmd"" : ""常熟"", ""clx"" : ""大型高一"", ""cna"" : ""宿迁汽车站"" }"
"江苏省","宿迁市","宿迁市","常州汽车总站","常州汽车总站","20161205","1350",132.0,66.0,"42","ccw","{ ""crq"" : ""20161205"", ""carNum"" : ""1"", ""ccid"" : ""20275678;"", ""csj"" : ""1350"", ""cnum"" : ""42"", ""cid"" : ""20275678;"", ""cjg"" : ""132"", ""bcbm"" : ""QQ0041"", ""cmdid"" : ""203056788')"", ""cmd"" : ""常州汽车总站"", ""clx"" : ""大型高一"", ""cna"" : ""宿迁汽车站"" }"
"江苏省","宿迁市","宿迁市","常州汽车总站","常州汽车总站","20161206","0750",132.0,66.0,"49","ccw","{ ""crq"" : ""20161206"", ""carNum"" : ""1"", ""ccid"" : ""20275678;"", ""csj"" : ""0750"", ""cnum"" : ""49"", ""cid"" : ""20275678;"", ""cjg"" : ""132"", ""bcbm"" : ""QQ0039"", ""cmdid"" : ""203056788')"", ""cmd"" : ""常州汽车总站"", ""clx"" : ""大型高一"", ""cna"" : ""宿迁汽车站"" }"
"江苏省","宿迁市","宿迁市","常州汽车总站","常州汽车总站","20161206","0850",132.0,66.0,"45","ccw","{ ""crq"" : ""20161206"", ""carNum"" : ""1"", ""ccid"" : ""20275678;"", ""csj"" : ""0850"", ""cnum"" : ""45"", ""cid"" : ""20275678;"", ""cjg"" : ""132"", ""bcbm"" : ""QQ0040"", ""cmdid"" : ""203056788')"", ""cmd"" : ""常州汽车总站"", ""clx"" : ""大型高一"", ""cna"" : ""宿迁汽车站"" }"
"江苏省","宿迁市","宿迁市","常州汽车总站","常州汽车总站","20161206","1350",132.0,66.0,"53","ccw","{ ""crq"" : ""20161206"", ""carNum"" : ""1"", ""ccid"" : ""20275678;"", ""csj"" : ""1350"", ""cnum"" : ""53"", ""cid"" : ""20275678;"", ""cjg"" : ""132"", ""bcbm"" : ""QQ0041"", ""cmdid"" : ""203056788')"", ""cmd"" : ""常州汽车总站"", ""clx"" : ""大型高一"", ""cna"" : ""宿迁汽车站"" }"
"江苏省","宿迁市","宿迁市","常州汽车总站","常州汽车总站","20161207","0750",132.0,66.0,"49","ccw","{ ""crq"" : ""20161207"", ""carNum"" : ""1"", ""ccid"" : ""20275678;"", ""csj"" : ""0750"", ""cnum"" : ""49"", ""cid"" : ""20275678;"", ""cjg"" : ""132"", ""bcbm"" : ""QQ0039"", ""cmdid"" : ""203056788')"", ""cmd"" : ""常州汽车总站"", ""clx"" : ""大型高一"", ""cna"" : ""宿迁汽车站"" }"
"江苏省","宿迁市","宿迁市","常州汽车总站","常州汽车总站","20161207","0850",132.0,66.0,"45","ccw","{ ""crq"" : ""20161207"", ""carNum"" : ""1"", ""ccid"" : ""20275678;"", ""csj"" : ""0850"", ""cnum"" : ""45"", ""cid"" : ""20275678;"", ""cjg"" : ""132"", ""bcbm"" : ""QQ0040"", ""cmdid"" : ""203056788')"", ""cmd"" : ""常州汽车总站"", ""clx"" : ""大型高一"", ""cna"" : ""宿迁汽车站"" }"
"江苏省","宿迁市","宿迁市","常州汽车总站","常州汽车总站","20161207","1350",132.0,66.0,"53","ccw","{ ""crq"" : ""20161207"", ""carNum"" : ""1"", ""ccid"" : ""20275678;"", ""csj"" : ""1350"", ""cnum"" : ""53"", ""cid"" : ""20275678;"", ""cjg"" : ""132"", ""bcbm"" : ""QQ0041"", ""cmdid"" : ""203056788')"", ""cmd"" : ""常州汽车总站"", ""clx"" : ""大型高一"", ""cna"" : ""宿迁汽车站"" }"
"江苏省","宿迁市","宿迁市","滁州","滁州","20161205","1300",60.0,30.0,"28","ccw","{ ""crq"" : ""20161205"", ""carNum"" : ""1"", ""ccid"" : ""20275678;"", ""csj"" : ""1300"", ""cnum"" : ""28"", ""cid"" : ""20275678;"", ""cjg"" : ""60"", ""bcbm"" : ""QQ0095"", ""cmdid"" : ""262556789')"", ""cmd"" : ""滁州"", ""clx"" : ""中型中级"", ""cna"" : ""宿迁汽车站"" }"
"江苏省","宿迁市","宿迁市","滁州","滁州","20161206","1300",60.0,30.0,"33","ccw","{ ""crq"" : ""20161206"", ""carNum"" : ""1"", ""ccid"" : ""20275678;"", ""csj"" : ""1300"", ""cnum"" : ""33"", ""cid"" : ""20275678;"", ""cjg"" : ""60"", ""bcbm"" : ""QQ0095"", ""cmdid"" : ""262556789')"", ""cmd"" : ""滁州"", ""clx"" : ""中型中级"", ""cna"" : ""宿迁汽车站"" }"
"江苏省","宿迁市","宿迁市","滁州","滁州","20161207","1300",60.0,30.0,"33","ccw","{ ""crq"" : ""20161207"", ""carNum"" : ""1"", ""ccid"" : ""20275678;"", ""csj"" : ""1300"", ""cnum"" : ""33"", ""cid"" : ""20275678;"", ""cjg"" : ""60"", ""bcbm"" : ""QQ0095"", ""cmdid"" : ""262556789')"", ""cmd"" : ""滁州"", ""clx"" : ""中型中级"", ""cna"" : ""宿迁汽车站"" }"
"江苏省","宿迁市","宿迁市","丹阳","丹阳","20161206","0715",110.0,55.0,"49","ccw","{ ""crq"" : ""20161206"", ""carNum"" : ""1"", ""ccid"" : ""20275678;"", ""csj"" : ""0715"", ""cnum"" : ""49"", ""cid"" : ""20275678;"", ""cjg"" : ""110"", ""bcbm"" : ""QQ0245"", ""cmdid"" : ""2025"", ""cmd"" : ""丹阳"", ""clx"" : ""中型中级"", ""cna"" : ""宿迁汽车站"" }"
