rating,major,title,image_urls,link,images,rating_nums
7.7,"
      
          导演: 土方政人 / 植田泰史
            
          主演: 锦户亮 / 仓科加奈 / 知念侑李
            
          类型: 剧情 / 喜剧
            
          制片国家/地区: 日本
            
          年份: 2013
    ","
        欢迎来到阴阳屋 よろず占い処 陰陽屋へようこそ
      ",,http://movie.douban.com/subject/24876428/,,
8.5,"
      
          导演: 水田伸生
            
          主演: 满岛光 / 田中裕子 / 小栗旬
            
          类型: 剧情
            
          制片国家/地区: 日本
            
          年份: 2013
    ","
        女人 Woman
      ",,http://movie.douban.com/subject/24706387/,,
8.1,"
      
          导演: 田中亮
            
          主演: 石原里美 / 松下奈绪 / 岩田刚典
            
          类型: 剧情 / 爱情
            
          制片国家/地区: 日本
            
          年份: 2014
    ","
        亲密姐妹 ディア・シスター
      ",,http://movie.douban.com/subject/25975924/,,
8.4,"
      
          导演: 金子文紀
            
          主演: 小泉孝太郎 / 長谷川京子 / 国仲涼子
            
          类型: 犯罪 / 悬疑
            
          制片国家/地区: 日本
            
          年份: 2014
    ","
        彼得的葬礼 ペテロの葬列
      ",,http://movie.douban.com/subject/25887305/,,
7.9,"
      
          导演: 木下高男 / 岩田和行 / 平井秀树
            
          主演: 上户彩 / 堀北真希 / 山田优
            
          类型: 剧情
            
          制片国家/地区: 日本
            
          年份: 2006
    ","
        折翼的天使们 翼の折れた天使たち
      ",,http://movie.douban.com/subject/1763994/,,
8.4,"
      
          导演: 石桥冠 / 鹤桥康夫 / 山室大辅 
            
          主演: 田村正和 / 松隆子 / 役所广司
            
          类型: 剧情
            
          制片国家/地区: 日本
            
          年份: 2014
    ","
        父亲的背影 おやじの背中
      ",,http://movie.douban.com/subject/25892818/,,
7.9,"
      
          导演: 金子文纪
            
          主演: 小雪 / 松本润 / 瑛太
            
          类型: 爱情
            
          制片国家/地区: 日本
            
          年份: 2003
    ","
        宠物情人 きみはペット
      ",,http://movie.douban.com/subject/1755390/,,
7.9,"
      
          导演: 宫藤官九郎 / 吉田健 / 土井裕泰
            
          主演: 长濑智也 / 生田斗真 / 中岛美嘉
            
          类型: 喜剧
            
          制片国家/地区: 日本
            
          年份: 2010
    ","
        自恋刑警 うぬぼれ刑事
      ",,http://movie.douban.com/subject/4862211/,,
8.8,"
      
          导演: 久保田哲史 / 谷村政樹
            
          主演: 速水重道 / 香椎由宇 / 平冈佑太
            
          类型: 剧情
            
          制片国家/地区: 日本
            
          年份: 2007
    ","
        东京塔 東京タワー オカンとボクと、時々、オトン
      ",,http://movie.douban.com/subject/2032902/,,
9.2,"
      
          导演: 细野英延 / 古贺伦明 / 大谷太郎
            
          主演: 竹野内丰 / 山崎努 / 木村佳乃
            
          类型: 剧情
            
          制片国家/地区: 日本
            
          年份: 1998
    ","
        世纪末之诗 世紀末の詩
      ",,http://movie.douban.com/subject/1760084/,,
7.5,"
      
          导演: 波多野貴文 / 木村ひさし / 坪井敏雄
            
          主演: 木村拓哉 / 柴崎幸 / 大岛优子
            
          类型: 爱情 / 科幻
            
          制片国家/地区: 日本
            
          年份: 2013
    ","
        安堂机器人 安堂ロイド～A.I. knows LOVE？～
      ",,http://movie.douban.com/subject/25696972/,,
9.0,"
      
          导演: 平川雄一朗
            
          主演: 内野聖陽 / 佐藤健 / 吹石一恵
            
          类型: 剧情
            
          制片国家/地区: 日本
            
          年份: 2013
    ","
        鸢 とんび
      ",,http://movie.douban.com/subject/20366095/,,
8.4,"
      
          导演: 土井裕泰 / 福泽克雄 / 平野俊一 
            
          主演: 木村拓哉 / 堤真一 / 柴崎幸
            
          类型: 剧情
            
          制片国家/地区: 日本
            
          年份: 2003
    ","
        空中情缘 Good luck!!
      ",,http://movie.douban.com/subject/1471438/,,
8.3,"
      
          导演: 犬童一心
            
          主演: 宫泽理惠 / 长塚圭史 / 黑木华
            
          制片国家/地区: 日本
            
          年份: 2014
    ","
        咕咕是一只猫 グーグーだって猫である
      ",,http://movie.douban.com/subject/25865482/,,
8.9,"
      
          导演: 大根仁
            
          主演: 瑛太 / 松田龙平 / 三浦诚己
            
          类型: 剧情
            
          制片国家/地区: 日本
            
          年份: 2013
    ","
        真幌站前番外地 まほろ駅前番外地
      ",,http://movie.douban.com/subject/10553029/,,
7.9,"
      
          导演: 福田雄一
            
          主演: 北山宏光 / 佐藤二朗 / 戸次重幸
            
          类型: 剧情 / 喜剧
            
          制片国家/地区: 日本
            
          年份: 2013
    ","
        审判长！肚子饿了！ 裁判長っ！おなか空きました！
      ",,http://movie.douban.com/subject/25725758/,,
8.3,"
      
          导演: 田村直己 / 松田秀知
            
          主演: 米仓凉子 / 田中圭 / 内田有纪
            
          类型: 剧情
            
          制片国家/地区: 日本
            
          年份: 2012
    ","
        X医生：外科医生大门未知子 ドクターX 外科医・大門未知子
      ",,http://movie.douban.com/subject/11612463/,,
7.8,"
      
          导演: 渡邊良雄 / 末永創
            
          主演: 井上真央 / 大泽隆夫 / 伊势谷友介
            
          类型: 剧情
            
          制片国家/地区: 日本
            
          年份: 2015
    ","
        花燃 花燃ゆ
      ",,http://movie.douban.com/subject/25784272/,,
8.1,"
      
          导演: 石川纯一 / 植田泰史 / 小山田雅和
            
          主演: 细田义彦 / 酒井彩名 / 渡边一计
            
          类型: 悬疑
            
          制片国家/地区: 日本
            
          年份: 2007
    ","
        百鬼夜行抄
      ",,http://movie.douban.com/subject/2147619/,,
8.5,"
      
          导演: 平川雄一朗
            
          主演: 佐藤健 / 黑木华 / 小林薰
            
          类型: 剧情
            
          制片国家/地区: 日本
            
          年份: 2015
    ","
        天皇的御厨 天皇の料理番
      ",,http://movie.douban.com/subject/26277318/,,
8.3,"
      
          导演: 土方政人
            
          主演: 中谷美纪 / 水川麻美 / 三浦翔平
            
          类型: 剧情 / 悬疑
            
          制片国家/地区: 日本
            
          年份: 2015
    ","
        代笔作家 ゴーストライター
      ",,http://movie.douban.com/subject/26273478/,,
7.7,"
      
          导演: 菅原伸太郎 / 池田健司
            
          主演: 二宫和也 / 麻生久美子 / 福士苍汰
            
          类型: 剧情 / 喜剧 / 运动
            
          制片国家/地区: 日本
            
          年份: 2014
    ","
        即便弱小也能获胜 弱くても勝てます～青志先生とへっぽこ高校球児の野望～
      ",,http://movie.douban.com/subject/25818801/,,
7.9,"
      
          导演: 武内英树 / 田岛大辅 / 岩本仁志 / 西浦匡规
            
          主演: 金城武 / 深田恭子 / 仲间由纪惠
            
          类型: 爱情
            
          制片国家/地区: 日本
            
          年份: 1998
    ","
        神，再多给点时间 神様、もう少しだけ
      ",,http://movie.douban.com/subject/1464829/,,
8.6,"
      
          导演: 三木孝浩
            
          主演: 松下奈绪 / 古田新太 / 田中哲司
            
          类型: 剧情
            
          制片国家/地区: 日本
            
          年份: 2015
    ","
        暗之伴走者 闇の伴走者
      ",,http://movie.douban.com/subject/26309935/,,
8.5,"
      
          导演: 水田成英  / 叶山浩树 / 星野和成
            
          主演: 坂口宪二 / 内田有纪 / 小池彻平
            
          类型: 剧情
            
          制片国家/地区: 日本
            
          年份: 2007
    ","
        医龙2 医龍2 ～Team Medical Dragon～
      ",,http://movie.douban.com/subject/2270422/,,
8.4,"
      
          导演: 三木聪
            
          主演: 小田切让 / 栗山千明 / 松重丰
            
          类型: 喜剧 / 悬疑
            
          制片国家/地区: 日本
            
          年份: 2010
    ","
        热海的搜查官 熱海の捜査官
      ",,http://movie.douban.com/subject/5153024/,,
9.1,"
      
          导演: 并木道子
            
          主演: 瑛太 / 尾野真千子 / 真木阳子
            
          类型: 剧情 / 喜剧 / 爱情
            
          制片国家/地区: 日本
            
          年份: 2014
    ","
        最完美的离婚 2014特别篇 最高の離婚Special 2014
      ",,http://movie.douban.com/subject/25790749/,,
7.9,"
      
          导演: 井上刚
            
          主演: 皮埃尔泷 / 木村佳乃 / 新井浩文
            
          类型: 悬疑
            
          制片国家/地区: 日本
            
          年份: 2015
    ","
        64
      ",,http://movie.douban.com/subject/26258795/,,
8.9,"
      
          导演: 堤幸彦 / 佐藤东弥 / 櫨山裕子 / 金田和樹
            
          主演: 堂本刚 / 友坂理惠 / 古尾谷雅人
            
          类型: 剧情 / 悬疑 / 冒险
            
          制片国家/地区: 日本
            
          年份: 1995
    ","
        金田一少年事件簿1 金田一少年の事件簿 第1シリーズ
      ",,http://movie.douban.com/subject/2276934/,,
9.2,"
      
          导演: 吉田健 / 加藤浩丈 / 金子与志一
            
          主演: 石田壹成 / 香取慎吾 / 反町隆史
            
          类型: 剧情
            
          制片国家/地区: 日本
            
          年份: 1995
    ","
        未成年
      ",,http://movie.douban.com/subject/1966951/,,
8.0,"
      
          导演: 宫本理江子 / 石井祐介 / 並木道子
            
          主演: 竹野内丰 / 上户彩 / 松田翔太
            
          类型: 剧情 / 爱情
            
          制片国家/地区: 日本
            
          年份: 2010
    ","
        流星 流れ星
      ",,http://movie.douban.com/subject/5247055/,,
8.9,"
      
          导演: 木村ひさし / 本橋圭太
            
          主演: 远藤宪一 / 菅田将晖 / 本仮屋唯佳
            
          类型: 剧情
            
          制片国家/地区: 日本
            
          年份: 2015
    ","
        民王
      ",,http://movie.douban.com/subject/26387719/,,
8.3,"
      
          导演: 西谷弘
            
          主演: 松岛菜菜子 / 福山雅治 / 渡边一计
            
          类型: 剧情
            
          制片国家/地区: 日本
            
          年份: 2003
    ","
        美女或野兽 美女か野獣
      ",,http://movie.douban.com/subject/2033317/,,
8.1,"
      
          导演: 大塚恭司 / 长沼诚 / 吉野洋
            
          主演: 中山美穗 / 堂本刚 / 小泉孝太郎
            
          制片国家/地区: 日本
            
          年份: 2014
    ","
        柏拉图式 プラトニック
      ",,http://movie.douban.com/subject/25861602/,,
7.7,"
      
          导演: 杉田成道 / 中江功 / 并木道子
            
          主演: 妻夫木聪 / 瑛太 / 满岛光
            
          类型: 剧情
            
          制片国家/地区: 日本
            
          年份: 2014
    ","
        年轻人们2014 若者たち2014
      ",,http://movie.douban.com/subject/25843132/,,
